Campaign,Ad group,Keyword,Type,Status
P3D | Labor Day | 3D Models | US | 2026,Custom Pet 3D Models,custom pet 3d model,Phrase,Enabled
P3D | Labor Day | 3D Models | US | 2026,Custom Pet 3D Models,custom pet 3d model,Exact,Enabled
P3D | Labor Day | 3D Models | US | 2026,Custom Pet 3D Models,3d printed pet,Phrase,Enabled
P3D | Labor Day | 3D Models | US | 2026,Custom Pet 3D Models,pet statue from photo,Phrase,Enabled
P3D | Labor Day | 3D Models | US | 2026,Custom Pet 3D Models,custom dog figurine,Phrase,Enabled
P3D | Labor Day | 3D Models | US | 2026,Custom Pet 3D Models,custom cat figurine,Phrase,Enabled
P3D | Labor Day | PawPrint Shop | US | 2026,PawPrint Gifts,custom pet portrait,Phrase,Enabled
P3D | Labor Day | PawPrint Shop | US | 2026,PawPrint Gifts,custom pet portrait,Exact,Enabled
P3D | Labor Day | PawPrint Shop | US | 2026,PawPrint Gifts,paw print portrait,Phrase,Enabled
P3D | Labor Day | PawPrint Shop | US | 2026,PawPrint Gifts,personalized pet gifts,Phrase,Enabled
P3D | Labor Day | PawPrint Shop | US | 2026,PawPrint Gifts,custom pet pillow,Phrase,Enabled
P3D | Labor Day | PawPrint Shop | US | 2026,PawPrint Gifts,custom pet ornament,Phrase,Enabled
P3D | Labor Day | 3D Models | US | 2026,,free download,Campaign negative,Enabled
P3D | Labor Day | 3D Models | US | 2026,,template,Campaign negative,Enabled
P3D | Labor Day | 3D Models | US | 2026,,tattoo,Campaign negative,Enabled
P3D | Labor Day | 3D Models | US | 2026,,veterinary,Campaign negative,Enabled
P3D | Labor Day | 3D Models | US | 2026,,jobs,Campaign negative,Enabled
P3D | Labor Day | 3D Models | US | 2026,,wholesale,Campaign negative,Enabled
P3D | Labor Day | 3D Models | US | 2026,,coloring page,Campaign negative,Enabled
P3D | Labor Day | 3D Models | US | 2026,,clip art,Campaign negative,Enabled
P3D | Labor Day | PawPrint Shop | US | 2026,,free download,Campaign negative,Enabled
P3D | Labor Day | PawPrint Shop | US | 2026,,template,Campaign negative,Enabled
P3D | Labor Day | PawPrint Shop | US | 2026,,tattoo,Campaign negative,Enabled
P3D | Labor Day | PawPrint Shop | US | 2026,,veterinary,Campaign negative,Enabled
P3D | Labor Day | PawPrint Shop | US | 2026,,jobs,Campaign negative,Enabled
P3D | Labor Day | PawPrint Shop | US | 2026,,wholesale,Campaign negative,Enabled
P3D | Labor Day | PawPrint Shop | US | 2026,,coloring page,Campaign negative,Enabled
P3D | Labor Day | PawPrint Shop | US | 2026,,clip art,Campaign negative,Enabled
